"percent_total","owner","owner_country"
"67.36","Alphabet","US"
"61.11","",""
"18.75","Automattic","US"
"18.75","Facebook","US"
"12.5","Amazon","US"
"11.81","Quantcast","US"
"10.42","Index Exchange","CA"
"10.42","OpenX","US"
"9.72","PubMatic","US"
"9.72","Rubicon Project","US"
"9.03","StackPath","US"
"9.03","WPP","UK"
"8.33","Golden Gate Capital","US"
"7.64","Acxiom","US"
"7.64","Oracle","US"
"7.64","The Trade Desk","US"
"6.94","Cloudflare","US"
"6.94","Twitter","US"
"6.25","AT&T","US"
"6.25","Fluct","JP"
"6.25","Prospect One","US"
"6.25","Smart AdServer","FR"
"5.56","Adobe Systems","US"
"5.56","Innovid","US"
"5.56","Media Math","US"
"5.56","Verizon","US"
"4.86","AdForm","DK"
"4.86","Marimedia","IL"
"4.86","Taboola","US"
"4.17","Adition Technologies","DE"
"4.17","ADYOULIKE","US"
"4.17","Criteo","FR"
"4.17","IPONWEB","UK"
"4.17","Loopme","UK"
"4.17","Microsoft","US"
"4.17","Yandex","RU"
"3.47","33Across","US"
"3.47","Altice SA","LU"
"3.47","Azerion","NL"
"3.47","Beeswax","US"
"3.47","Comcast","US"
"3.47","Exponential Advertising Intelligence","US"
"3.47","Gemius","PL"
"3.47","GTCR","US"
"3.47","ID5 Technology","UK"
"3.47","JS Foundation","US"
"3.47","Lotame","US"
"3.47","Media.net","US"
"3.47","OnAudience","UK"
"3.47","Singtel","SG"
"3.47","Telenor","NO"
"3.47","Zeotap","DE"
"2.78","Avocet","UK"
"2.78","Bidtheatre","SE"
"2.78","Centro","US"
"2.78","Crimtan","UK"
"2.78","Federated Media","US"
"2.78","Fifty Technology","UK"
"2.78","Fonticons","US"
"2.78","Here, There & Everywhere","AU"
"2.78","Nielsen Online","US"
"2.78","Outbrain","US"
"2.78","Pinterest","US"
"2.78","PulsePoint","US"
"2.78","Salesforce","US"
"2.78","Samsung","KR"
"2.78","Semasio","DE"
"2.78","Sharethrough","US"
"2.78","Walmart","US"
"2.78","Weborama","FR"
"2.08","Inmobi","IN"
"1.39","Axel Springer","DE"
"1.39","Check Point","US"
"1.39","Eyeota","SG"
"1.39","INFOnline","DE"
"1.39","MegaFon","RU"
"1.39","Spot X Change","US"
"1.39","Statcounter","IE"
"1.39","Wikimedia Foundation","US"
"1.39","Wisecode","IT"
"1.39","Zeta Global","US"
"0.69","Appier","TW"
"0.69","Brightcove","US"
"0.69","Chartbeat","US"
"0.69","comScore","US"
"0.69","CreateJS","CA"
"0.69","Cxense","NO"
"0.69","DataXu","US"
"0.69","Demandbase","US"
"0.69","Deutsche Telekom","DE"
"0.69","Dynadmic","FR"
"0.69","Engine Media Exchange","US"
"0.69","etracker","DE"
"0.69","GetIntent","US"
"0.69","Gumgum","US"
"0.69","Hotjar","MT"
"0.69","IAB Europe","BE"
"0.69","IAC","US"
"0.69","Imgix","US"
"0.69","Integral Ad Science","US"
"0.69","LiveIntent","US"
"0.69","Longtail Ad Solutions","US"
"0.69","MediaScope","RU"
"0.69","Monotype Imaging","US"
"0.69","New Relic","US"
"0.69","Propel Media","US"
"0.69","Sonobi","US"
"0.69","SpringServe","US"
"0.69","Ströer","DE"
"0.69","TripleLift","US"
"0.69","Trusted Shops","DE"
"0.69","Webtrekk","DE"
"0.69","Yadro","RU"
"0.69","Yieldlab","DE"
